iter	RMSE
0	27248.17956
1	26888.72341
2	26530.54208
3	26266.31296
4	25948.3955
5	25556.86674
6	25251.2536
7	24955.34306
8	24640.40076
9	24325.42744
10	24039.8228
11	23752.42295
12	23449.37214
13	23148.2471
14	22839.08858
15	22564.08557
16	22235.40427
17	21941.09156
18	21697.65893
19	21394.47644
20	21157.19178
21	20909.84025
22	20646.46666
23	20411.55154
24	20162.42056
25	19921.56309
26	19715.79838
27	19433.41613
28	19183.2897
29	18933.56331
30	18692.11153
31	18450.94613
32	18240.46324
33	18023.74498
34	17796.03797
35	17612.65597
36	17453.67387
37	17222.76961
38	17037.28783
39	16856.0015
40	16673.01748
41	16442.9337
42	16260.56705
43	16079.81148
44	15927.59714
45	15745.91394
46	15530.11621
47	15341.78758
48	15174.59128
49	15021.53198
50	14855.39987
51	14666.17658
52	14511.28725
53	14347.19601
54	14201.8055
55	14024.4501
56	13846.26545
57	13672.07396
58	13521.28318
59	13391.95498
60	13217.18787
61	13044.55016
62	12921.27431
63	12792.99088
64	12642.56684
65	12509.40074
66	12365.15618
67	12234.28935
68	12081.67372
69	11948.28214
70	11808.91276
71	11696.46431
72	11567.16455
73	11449.75994
74	11360.46992
75	11246.78091
76	11129.53509
77	11032.79253
78	10915.97341
79	10787.90168
80	10665.50378
81	10550.87531
82	10454.11795
83	10339.11849
84	10243.36421
85	10137.49806
86	10028.18685
87	9939.837447
88	9843.282837
89	9746.844016
90	9645.337085
91	9543.216773
92	9432.154713
93	9338.316123
94	9252.858821
95	9168.079761
96	9059.565833
97	8984.990709
98	8897.735205
99	8805.005422
100	8711.885734
101	8630.426087
102	8546.593134
103	8459.764513
104	8385.197825
105	8318.368827
106	8233.785041
107	8154.159831
108	8081.887329
109	7997.746807
110	7921.577385
111	7847.327187
112	7771.006935
113	7691.585749
114	7612.15627
115	7537.032132
116	7453.906591
117	7380.070611
118	7306.544248
119	7239.493291
120	7170.596586
121	7114.330442
122	7045.795189
123	6988.812444
124	6931.653358
125	6883.297262
126	6818.158269
127	6760.456499
128	6699.216464
129	6653.599736
130	6598.814254
131	6539.405614
132	6467.988091
133	6410.132386
134	6351.36788
135	6294.61224
136	6230.615001
137	6183.763738
138	6125.630543
139	6080.73511
140	6019.430354
141	5958.223043
142	5911.75509
143	5868.724713
144	5817.792181
145	5771.65327
146	5714.530452
147	5668.414857
148	5625.734853
149	5585.870536
150	5546.52587
151	5501.804469
152	5460.033513
153	5409.710767
154	5368.310688
155	5323.370998
156	5281.984221
157	5234.685763
158	5196.449442
159	5158.727686
160	5126.71262
161	5089.11691
162	5049.373772
163	5011.164331
164	4966.328734
165	4923.378584
166	4882.921389
167	4840.440754
168	4810.932873
169	4768.956309
170	4732.089899
171	4695.438463
172	4657.455614
173	4619.545147
174	4587.336502
175	4553.427527
176	4525.390653
177	4495.75403
178	4460.095946
179	4425.602134
180	4398.616922
181	4371.251306
182	4334.212348
183	4305.085169
